softmax_size = 2
disk_reader_process_num: 1
disk_reader_process_num: 1
C:\Users\artem\AppData\Local\Programs\Python\Python310\lib\site-packages\torch\nn\modules\loss.py:536: UserWarning: Using a target size (torch.Size([4, 2])) that is different to the input size (torch.Size([4, 256, 1, 1, 1])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
2023-12-12 12:01:02,739:CRITICAL:EmoV2_step40: iteration: 2600: Loss: 0.251754, lr: 0.000894
2023-12-12 12:01:14,965:CRITICAL:EmoV2_step40: iteration: 2700: Loss: 0.154705, lr: 0.000894
2023-12-12 12:01:27,271:CRITICAL:EmoV2_step40: iteration: 2800: Loss: 0.109843, lr: 0.000893
2023-12-12 12:01:39,451:CRITICAL:EmoV2_step40: iteration: 2900: Loss: 0.228038, lr: 0.000893
2023-12-12 12:01:51,894:CRITICAL:EmoV2_step40: iteration: 3000: Loss: 0.106390, lr: 0.000892
2023-12-12 12:02:04,223:CRITICAL:EmoV2_step40: iteration: 3100: Loss: 0.158636, lr: 0.000892
2023-12-12 12:02:16,564:CRITICAL:EmoV2_step40: iteration: 3200: Loss: 0.177210, lr: 0.000891
2023-12-12 12:02:28,832:CRITICAL:EmoV2_step40: iteration: 3300: Loss: 0.052676, lr: 0.000890
2023-12-12 12:02:41,139:CRITICAL:EmoV2_step40: iteration: 3400: Loss: 0.164045, lr: 0.000890
2023-12-12 12:02:53,454:CRITICAL:EmoV2_step40: iteration: 3500: Loss: 0.149826, lr: 0.000889
2023-12-12 12:03:06,267:CRITICAL:EmoV2_step40: iteration: 3600: Loss: 0.131733, lr: 0.000889
2023-12-12 12:03:18,413:CRITICAL:EmoV2_step40: iteration: 3700: Loss: 0.194764, lr: 0.000888
2023-12-12 12:03:30,585:CRITICAL:EmoV2_step40: iteration: 3800: Loss: 0.134711, lr: 0.000887
2023-12-12 12:03:42,756:CRITICAL:EmoV2_step40: iteration: 3900: Loss: 0.221884, lr: 0.000887
2023-12-12 12:03:54,962:CRITICAL:EmoV2_step40: iteration: 4000: Loss: 0.161456, lr: 0.000886
2023-12-12 12:04:07,258:CRITICAL:EmoV2_step40: iteration: 4100: Loss: 0.086154, lr: 0.000885
2023-12-12 12:04:19,511:CRITICAL:EmoV2_step40: iteration: 4200: Loss: 0.114251, lr: 0.000885
2023-12-12 12:04:31,792:CRITICAL:EmoV2_step40: iteration: 4300: Loss: 0.118528, lr: 0.000884
2023-12-12 12:04:43,990:CRITICAL:EmoV2_step40: iteration: 4400: Loss: 0.136735, lr: 0.000883
2023-12-12 12:04:56,325:CRITICAL:EmoV2_step40: iteration: 4500: Loss: 0.177941, lr: 0.000882
2023-12-12 12:05:08,626:CRITICAL:EmoV2_step40: iteration: 4600: Loss: 0.225461, lr: 0.000882
2023-12-12 12:05:21,451:CRITICAL:EmoV2_step40: iteration: 4700: Loss: 0.196486, lr: 0.000881
2023-12-12 12:05:33,691:CRITICAL:EmoV2_step40: iteration: 4800: Loss: 0.228880, lr: 0.000880
2023-12-12 12:05:45,909:CRITICAL:EmoV2_step40: iteration: 4900: Loss: 0.239664, lr: 0.000879
2023-12-12 12:05:58,317:CRITICAL:EmoV2_step40: iteration: 5000: Loss: 0.134171, lr: 0.000878
